id,source,record_type,report_year,source_file,page_start,page_end,region,onshore_offshore,date_raw,date,country,function,cause,activity,number_of_deaths,number_of_pi_injuries,lsr_primary_raw,lsr_secondary_raw,lsr_primary,lsr_secondary,life_saving_rules,lsr_unmapped,victim_function,victim_employer,victim_occupation,victim_body_part,victim_nature_of_injury,victim_time_in_service,pi_category,pi_subcategory,lwdc_days,rwdc_days,narrative,what_went_wrong,corrective_actions,causal_factors,causal_factors_raw,unparsed_header_lines,narrative_words,text,text_composition,parse_warnings
iogp_2022_fatal_001_8083d9,iogp,fatal,2022,2022sf.pdf,5,5,AFRICA ONSHORE,onshore,01 Aug 2022,2022-08-01,Nigeria,Production,"Explosion, fire or burns","Maintenance, inspection, testing",1,,Hot work,,Hot Work,,"[""Hot Work""]",[],,Contractor,"Maintenance, Craftsman",Leg/knee/hip,Burn,,,,,,"During hot work activity, there was fire incident which impacted two contractor personnel. The more severely injured person was transferred to a specialist burn centre, but he unfortunately passed away.","Contractor personnel were performing planned hot work inside a tank on three stilling wells. These works were required to prepare the tank for calibration (hydrotesting) prior to returning the tank to service. IP1 was grinding datum plate bolts off stilling well 2. IP2 was welding a datum plate on the base of stilling well 3, approximately 1.7m away from stilling well 2. After removing two of the four bolts from stilling well 2, crude oil that had accumulated in its 2"" compartment began flowing from stilling well 2, spraying in the direction of stilling well 3. Because of the welding or grinding work, the released crude oil ignited. Both IP1 and IP2 sustained burns in the resulting fire.","1. Tank certification as hydrocarbon free - tanks shall be certified as 'gas free' after tank draining and cleaning, in fact, free of residual hydrocarbons. Personnel certifying tanks shall be aware of all potential locations of residual hydrocarbons, including those where use of standard gas detector would be unlikely to detect their presence.
• Tank cleaning - Cleaned tanks shall be free of residual hydrocarbons. Tank cleaning personnel shall have 'front of mind' awareness of potential locations of residual hydrocarbons.
• Emergency notification - Emergency service personnel shall promptly and successfully notify in case of emergencies. A consistent (across assets/locations) and simple process shall be in place for company staff and contractor personnel to provide emergency notification.
• Personal protective equipment (PPE) - Contractor personnel shall understand and fully comply with the PPE Manual.
• DEP standard drawing for a stilling well - Company and contractor personnel should be skilled enough to understand and correctly interpret the drawing content.",[],No Causal Factors Allocated,,30,"During hot work activity, there was fire incident which impacted two contractor personnel. The more severely injured person was transferred to a specialist burn centre, but he unfortunately passed away.",narrative,[]
iogp_2022_fatal_002_154a46,iogp,fatal,2022,2022sf.pdf,6,7,AFRICA OFFSHORE,offshore,05 Jul 2022,2022-07-05,Egypt,Drilling,Falls from height,"Drilling, workover, well operations",1,,Working at height,,Working at Height,,"[""Working at Height""]",[],,Contractor,Other,Neck/torso/spine,Crushing,,,,,,"A floorman was working at a BOP maintenance area at jack up cellar deck at a height of almost 17 meters from the platform top deck. After assembling the BOP shear rams, some housekeeping activities (including tools recovery and collection) were being performed by a crew of total six members. At the time of the incident, the IP was standing on the walking area of the BOP nearby the Coflex (right side of BOP). He had previously received some tools from height in order to recover them (at least a metal plate and a chain block, with total weight of approximately 15 kg) from one crew member standing on the left side of BOP, third floor. The IP approached the right side of the area, through the walking area around the BOP - passing in the rear side of BOP itself. Most likely his intention was to approach the BOP first floor from the right side to collect other tools or to place the received ones in a dedicated area, before the final collection. In any case he put his foot above the Coflex hose connected with the BOP (inherently slippery) and fell down through an open area of almost 1 metre (between the tubular handrail and the walking area around the BOP) from a height of 17 metres. The falling dynamic is compatible with both hypothesis: either the IP lost his balance due to the weight of the tools (approximately 15 kg) or while approaching the BOP first floor. A medevac was immediately activated but the IP was declared dead in the hospital.","• Poor planning activities and role assignment: the IP started working on the POB area as part of BOP maintenance crew but then was sent to the shale shaker area. After finishing the activity there, the IP went back to the BOP area to recover his original task.
• Complacency and training/competences gaps: the IP and crew members demonstrated poor risk perception and awareness on working at height.
• Poor Risk Assessment: Job Safety Analysis was attached to the PTW but risks related to fall from height, manual handling, presence of slippery areas and absence of barriers were not included in the risk analysis.
• Incomplete operating instruction: Job Safety Analysis reported the list of main tasks for BOP maintenance(including method of statement) but this list did not include all the risks related to working at height. JSA did not include tasks and risks related to the lifting operations that were part of the activity and a dedicated permit to work for such activities was not issued.
• Tool Box Talk (TBT) not effective: TBT performed but crew did not flag the falling or slipping/tripping hazards and risks related to improper manual handling.
• PPE not used: the IP and some of the crew members not wearing the personnel fall protection equipment foreseen by the PTW.
• Work environment: presence of an open side in the BOP area of around 93 cm height between the first handrail and the floor. Such free space is wide enough to allow a person to fall through it. No other barriers and signs were present.
• Design specifications not respected: the top and mid rails of the handrail were installed at a height higher than as it shall be as per standards.
• MOC: installation of tubular handrails at height different than as per standard, not analyzed or risk assessed trough MOC process.
• Lack of supervision: supervision not effective and previous inspections did not identify the unsafe conditions of the working area.
• Poor Housekeeping: the hose that the IP stepped on was wet with oil and grease and thus slippery. The hose was beside the walkway area without segregation or barrier.
• Contractor Management: opportunities for improvement have been found in the contract management process, as new higher HSE requirements were included in the contract but only inspection for rig acceptance was done when hiring the Rig.
• Emergency Management & Response: delays in helicopter take-off due to some equipment to be loaded, medevac procedure not properly followed.","• All the risks related to Work at Height shall be evaluated (including tools handling), assessed in the Permit to Work and deeply discussed during the pre-job meetings, briefing and Tool Box Talk.
• Ensure all personnel involved in the operation are aware of the operating instructions and methods of statement.
• Refresh PTW procedure (including Tool Box Talk and Job Safety Analysis philosophy) and risks related to routine and non-routine activities. Ensure all personnel involved are aware of all the activity-related risks, duties & responsibilities, and safety precautions.
• Ensure opening of a dedicated PTW / Risk Assessment / Lifting Plan for any Lifting Operation requiring it.
• Ensure adequate supervision of activities.
• The worksite area shall be tidy before beginning a task, at the end of shifts and on completion of the task.
• All the Rig operators need to be aware of all the risks related to the activities.
• In cooperation with a third party, assess the competences, duties, rig organization to understand if sufficient, skilled manpower is available at the rig to perform the activities, as per duties and planning. Ensure periodic follow up of 3rd party inspections/assessments.
• Ensure proper Contractor Management by implementing specific safety programs and initiatives and verifying contractor compliance with contract requirements (eventually with support of a third party verification).
• Provide barriers to prevent fall risk areas as much as possible, and safety signs to make the crews aware of the risk of falling and the presence of slippery areas and area segregations / no go zone.
• Clearly assign roles & responsibilities in the medevac procedure; periodically refresh all Rig Personnel about the Communication Flow Chart in case of medevac; perform regular medevac Drills without previous announcement/notification.","[{""group"": ""process_conditions"", ""category"": ""Tools, Equipment, Materials and Products"", ""factor"": ""Inadequate/defective tools/equipment/ materials/products""}, {""group"": ""process_conditions"", ""category"": ""Organizational"", ""factor"": ""Inadequate hazard identification or risk assessment""}]","PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate/defective tools/equipment/
materials/products
PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment",,264,"A floorman was working at a BOP maintenance area at jack up cellar deck at a height of almost 17 meters from the platform top deck. After assembling the BOP shear rams, some housekeeping activities (including tools recovery and collection) were being performed by a crew of total six members. At the time of the incident, the IP was standing on the walking area of the BOP nearby the Coflex (right side of BOP). He had previously received some tools from height in order to recover them (at least a metal plate and a chain block, with total weight of approximately 15 kg) from one crew member standing on the left side of BOP, third floor. The IP approached the right side of the area, through the walking area around the BOP - passing in the rear side of BOP itself. Most likely his intention was to approach the BOP first floor from the right side to collect other tools or to place the received ones in a dedicated area, before the final collection. In any case he put his foot above the Coflex hose connected with the BOP (inherently slippery) and fell down through an open area of almost 1 metre (between the tubular handrail and the walking area around the BOP) from a height of 17 metres. The falling dynamic is compatible with both hypothesis: either the IP lost his balance due to the weight of the tools (approximately 15 kg) or while approaching the BOP first floor. A medevac was immediately activated but the IP was declared dead in the hospital.",narrative,[]
iogp_2022_fatal_003_b9aec7,iogp,fatal,2022,2022sf.pdf,8,8,ASIA/AUSTRALASIA ONSHORE,onshore,16 Mar 2022,2022-03-16,China,Drilling,Dropped objects,"Drilling, workover, well operations",1,,Line of fire,,Line of Fire,,"[""Line of Fire""]",[],,Contractor,Drilling/Well Servicing Operator,"Head (incl. mouth, etc.)",Loss of consciousness,,,,,,"During a drilling operation, began to connect drill pipe columns. After the second column was connected and the hook rose to the second floor of the derrick, the driller moved the column to the drill pipe box for operation. When the derrick man was ready to place the column but had not opened the elevator valve, the traveling block hook suddenly dropped, and the elevator fell off and fell to the drill floor, hitting the driller who was working in the wellhead area. His safety helmet was dropped, and the IP fell unconscious on the spot. The operation was immediately stopped and first aid was carried out. The injury was fatal.","During the process of connecting the drill pipe column of the well, the drilling elevator loosened and fell, hitting the floorman on the drill floor.","In order to effectively strengthen the company's safety production work, improve the safety production responsibility and safety production awareness of all employees, and prevent the recurrence of production safety accidents, a major safety inspection was carried out throughout the company in strict accordance with the principle of ""four not to let go"". At the same time, contractor management was standardized and strengthened in accordance with the main responsibility of enterprise safety production, strengthened ideological awareness, and standardized and strengthened the contractor management. The rectification report has been formed by strengthening the implementation of the system, eliminating the ""double skin"", systematically carrying out the construction of the drilling and completion supervision team, improving the on-site emergency response ability and rescue ability, and implementing the requirements of various safety production work in 2022.
1. Strengthen the organization to watch the safety promotional film to ensure the full coverage of learning.
2. Accident case study warning.","[{""group"": ""process_conditions"", ""category"": ""Tools, Equipment, Materials and Products"", ""factor"": ""Inadequate maintenance/inspection/testing""}]","PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing",,111,"During a drilling operation, began to connect drill pipe columns. After the second column was connected and the hook rose to the second floor of the derrick, the driller moved the column to the drill pipe box for operation. When the derrick man was ready to place the column but had not opened the elevator valve, the traveling block hook suddenly dropped, and the elevator fell off and fell to the drill floor, hitting the driller who was working in the wellhead area. His safety helmet was dropped, and the IP fell unconscious on the spot. The operation was immediately stopped and first aid was carried out. The injury was fatal.",narrative,[]
iogp_2022_fatal_004_776fe9,iogp,fatal,2022,2022sf.pdf,9,9,ASIA/AUSTRALASIA ONSHORE,onshore,08 Oct 2022,2022-10-08,Pakistan,Production,Pressure release,"Maintenance, inspection, testing",1,,Work authorization,,Work Authorisation,,"[""Work Authorisation""]",[],,Contractor,Drilling/Well Servicing Operator,"Head (incl. mouth, etc.)",Crushing,,,,,,"During Preventive Maintenance (PM) of emergency shutdown valve at a wellsite, the actuator of the valve abruptly burst and its metallic part hit a nearby contractor. The injured Person (IP) was taken to the clinic, where he passed away. The actuator detached parts hit the flow line Pressure Differential Transmitter (PDT) tubings, which resulted in minor crack on a Down Stream (D/S) welded nipple. This led to gas leakage.","• Risk Assessment not revised following the deviation from Scope of Work (SOW).
• Tight schedule, only one Instrument team was on site to perform all the planned activities.
• Complacency due to routine activity being perceived as low risk, leading to overconfidence of workers.
• The Instrument Technicians themselves deviated from SOW without applying Management of Change process.
• Stop Work Authority not applied.
• Ineffective supervision. Supervisors were present on site, but focused on other activities.
• Lack of means of communication. Unavailability of radio device for communication between control room and work area leading to pressurized actuator for more than 7 minutes.
• Lack of awareness of performing authority related to process hazards leading to risk underestimation.","• Any change or deviation to design, asset, process, work procedure or practices shall be accurately identified, reported and assessed by competent and trained personnel.
• The job shall be suspended in case of change in the SOW, and Risk assessment revised to involve all the stakeholders.
• Ensure all personnel involved in the operation are aware of the operating instructions and methods of statement.
• Ensure proper communication among working team members on site.
• Ensure competence, awareness and training of the personnel involved in operations.","[{""group"": ""process_conditions"", ""category"": ""Tools, Equipment, Materials and Products"", ""factor"": ""Inadequate design/specification/management of change""}, {""group"": ""process_conditions"", ""category"": ""Tools, Equipment, Materials and Products"", ""factor"": ""Inadequate/defective tools/equipment/ materials/products""}]","PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management
of change
PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate/defective tools/equipment/
materials/products",,69,"During Preventive Maintenance (PM) of emergency shutdown valve at a wellsite, the actuator of the valve abruptly burst and its metallic part hit a nearby contractor. The injured Person (IP) was taken to the clinic, where he passed away. The actuator detached parts hit the flow line Pressure Differential Transmitter (PDT) tubings, which resulted in minor crack on a Down Stream (D/S) welded nipple. This led to gas leakage.",narrative,[]
iogp_2022_fatal_005_9ea5de,iogp,fatal,2022,2022sf.pdf,10,10,ASIA/AUSTRALASIA ONSHORE,onshore,26 Jan 2022,2022-01-26,Pakistan,Production,Assault or violent act,Production operations,1,,Other,,,,[],[],,Contractor:,Other:,Neck/torso/spine:,Shot,,,,,,"On 26th January 2022, a contractor security guard was killed during a terrorist attack. Some parts of the facility were also damaged by the terrorist.",Terror attack.,Security procedure was reviewed.,"[{""group"": ""process_conditions"", ""category"": ""Organizational"", ""factor"": ""Inadequate training/competence""}, {""group"": ""process_conditions"", ""category"": ""Organizational"", ""factor"": ""Inadequate work standards/procedures""}]","PROCESS (CONDITIONS): Organizational: Inadequate training/competence
PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures",,25,"On 26th January 2022, a contractor security guard was killed during a terrorist attack. Some parts of the facility were also damaged by the terrorist.",narrative,"[""no_lsr""]"
iogp_2022_fatal_006_c83a7f,iogp,fatal,2022,2022sf.pdf,10,11,ASIA/AUSTRALASIA ONSHORE,onshore,20 Jan 2022,2022-01-20,Pakistan,Construction,"Caught in, under or between (excl. dropped objects)",Transport - Land,1,,Driving,,Driving,,"[""Driving""]",[],,Contractor,Transportation Operator,"Head (incl. mouth, etc.)",Crushing,,,,,,A Contractor's water tanker rolled over while it was travelling towards a right of way from a water point. There were two passengers in the tanker; a driver and a local person. Both were seriously injured during the accident. Medical treatment was provided to the local person at the hospital. The local person had been engaged by the deceased driver on the day of accident. The driver passed away while he was being transferred to hospital by ambulance.,"The driver did not go to a lower gear on the flat surface before the slope. Instead, he attempted to lower the gear while descending the slope which resulted in continuous momentum gain. Due to extreme panic, sudden uncontrollable fear, loss of nerves, and his complete attention towards changing the gear, the driver failed to apply any of the brakes, neither service brakes nor hand brakes. This can be also confirmed by the fact that no brake marks were visible on the right of way where the accident happened. Rough terrain, inclined profile of land and filled water in the bowser contributed in increasing momentum of the descending bowser. Driver did not follow the speed limit, he also did not follow the safe driving practice required for the hilly terrain. Failure to effectively implement required actions for controlling the hazard. The driver tried to direct the bowser towards crown/shoulder of the road to stop the vehicle, which instead lifted the tanker and ultimately it rolled over. Supervisor failed to ensure that every worker should attend TBT before the job begins. Helper was appointed by driver without any prior information or approval. Therefore, helper was missing the basic skill set and orientation required to perform the job.","• Company Driving Policy and Safe Driving Practices shall always be followed.
• Vehicle's speed shall always be reduced, and gears should be lowered before descending on slope.
• Speed Limit shall always be followed.
• Driving Techniques shall always be adapted as per the Terrain and surrounding conditions.
• Attendance of all workers shall be ensured in ToolBox Talks (TBTs).
• Hazards associated with workplace and surrounding conditions must be discussed and communicated to workers in all TBTs.","[{""group"": ""people_acts"", ""category"": ""Inattention/Lack of Awareness"", ""factor"": ""Improper decision making or lack of judgment""}, {""group"": ""process_conditions"", ""category"": ""Tools, Equipment, Materials and Products"", ""factor"": ""Inadequate design/specification/management of change""}, {""group"": ""process_conditions"", ""category"": ""Organizational"", ""factor"": ""Inadequate hazard identification or risk assessment""}, {""group"": ""process_conditions"", ""category"": ""Organizational"", ""factor"": ""Inadequate communication""}]","PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment
PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management
of change
PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment
PROCESS (CONDITIONS): Organizational: Inadequate communication",,78,A Contractor's water tanker rolled over while it was travelling towards a right of way from a water point. There were two passengers in the tanker; a driver and a local person. Both were seriously injured during the accident. Medical treatment was provided to the local person at the hospital. The local person had been engaged by the deceased driver on the day of accident. The driver passed away while he was being transferred to hospital by ambulance.,narrative,[]
iogp_2022_fatal_007_418f4f,iogp,fatal,2022,2022sf.pdf,11,12,ASIA/AUSTRALASIA ONSHORE,onshore,05 Mar 2022,2022-03-05,Thailand,Unspecified,Struck by (not dropped object),"Drilling, workover, well operations",1,,Line of fire,,Line of Fire,,"[""Line of Fire""]",[],,Contractor,Unknown,"Head (incl. mouth, etc.)","Cut, Puncture, Scrape",,,,,,There was an explosive incident while conducting an under-rig-floor slickline operation. The explosion resulted in one fatality and two injured persons. All of the affected personnel work for contracted companies.,Perforation gun was unintentionally activated.,Not yet available.,"[{""group"": ""process_conditions"", ""category"": ""Tools, Equipment, Materials and Products"", ""factor"": ""Inadequate design/specification/management of change""}, {""group"": ""process_conditions"", ""category"": ""Tools, Equipment, Materials and Products"", ""factor"": ""Inadequate maintenance/inspection/testing""}, {""group"": ""process_conditions"", ""category"": ""Organizational"", ""factor"": ""Inadequate training/competence""}, {""group"": ""process_conditions"", ""category"": ""Organizational"", ""factor"": ""Inadequate work standards/procedures""}]","PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management
of change
PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate maintenance/inspection/testing
PROCESS (CONDITIONS): Organizational: Inadequate training/competence
PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures",,30,There was an explosive incident while conducting an under-rig-floor slickline operation. The explosion resulted in one fatality and two injured persons. All of the affected personnel work for contracted companies.,narrative,[]
iogp_2022_fatal_008_502d2b,iogp,fatal,2022,2022sf.pdf,13,13,ASIA/AUSTRALASIA OFFSHORE,offshore,05 Jul 2022,2022-07-05,Malaysia,Production,"Water related, drowning","Diving (incl. decompression), subsea, ROV",1,,Other,,,,[],[],,Contractor:,Unknown:,Respiratory system:,Unspecified,,,,,,"Two divers were involved in an incident during underwater hull repair project for a Floating Production and Storage & Offloading (FPSO) vessel at an offshore production field. The work was conducted at seat with depth of 6 meters (approximately 20 feet). The divers left a Diving Support Vessel (DSV) to perform an adapter mating test. While positioning the adapter in its intended location, the adapter suddenly lost its buoyancy and sank. One of the divers (Diver 1) was seen sinking together with the adapter to a depth of 55 meters (approximately 180 feet), entangled with the adapter rope. Diver 2 rescued Diver 1 and swam up together with unconscious Diver 1 to the surface. Diver 1 was taken to DSV compression chamber, but had lost vital signs at that point. He was pronounced dead four hours after CPR was attempted to revive him.",Deviation from approved procedure (Diving Safety Management System Manual) during diving operation and emergency procedure.,"• Existing Company Site Representatives (CSR), offshore diving supervisors and superintendent shall complete trainings as per IMCA Client Offshore and IMCA C 003.
• Future SISO involving diving operations to include company standards in Diving Operations Management.",[],No Causal Factors Allocated,,143,"Two divers were involved in an incident during underwater hull repair project for a Floating Production and Storage & Offloading (FPSO) vessel at an offshore production field. The work was conducted at seat with depth of 6 meters (approximately 20 feet). The divers left a Diving Support Vessel (DSV) to perform an adapter mating test. While positioning the adapter in its intended location, the adapter suddenly lost its buoyancy and sank. One of the divers (Diver 1) was seen sinking together with the adapter to a depth of 55 meters (approximately 180 feet), entangled with the adapter rope. Diver 2 rescued Diver 1 and swam up together with unconscious Diver 1 to the surface. Diver 1 was taken to DSV compression chamber, but had lost vital signs at that point. He was pronounced dead four hours after CPR was attempted to revive him.",narrative,"[""no_lsr""]"
iogp_2022_fatal_009_af0c3c,iogp,fatal,2022,2022sf.pdf,14,14,ASIA/AUSTRALASIA OFFSHORE,offshore,03 Mar 2022,2022-03-03,Malaysia,Production,"Explosion, fire or burns",Production operations,1,,Hot work,,Hot Work,,"[""Hot Work""]",[],,Contractor,Unknown,Arm/elbow/shoulder,Unspecified,,,,,,"A fire incident occurred at an offshore production platform during hot work activity inside a pressurized habitat for deck plate replacement near a Booster Compressor Suction Scrubber involving contractor personnel. The fire incident has resulted in 1 one fatality after 3 three days of treatment at a burn intensive care unit, and 1 one burn injury.",Hot work activity carried out inside habitat on live HC piping.,"• Thorough risk assessment for any hot work activity during live plant environment.
• Avoid erecting the habitat on the live HC line.",[],"No Causal Factors Allocated
No fatal incidents reported
No fatal incidents reported",,56,"A fire incident occurred at an offshore production platform during hot work activity inside a pressurized habitat for deck plate replacement near a Booster Compressor Suction Scrubber involving contractor personnel. The fire incident has resulted in 1 one fatality after 3 three days of treatment at a burn intensive care unit, and 1 one burn injury.",narrative,[]
iogp_2022_fatal_010_dfaa1d,iogp,fatal,2022,2022sf.pdf,15,15,MIDDLE EAST ONSHORE,onshore,11 Oct 2022,2022-10-11,Bahrain,Unspecified,Dropped objects,"Lifting, crane, rigging, deck operations",1,,Line of fire,,Line of Fire,,"[""Line of Fire""]",[],,Contractor,Drilling/Well Servicing Operator,"Head (incl. mouth, etc.)",Crushing,,,,,,"During lifting activity on rig site, a TGB joint box disconnected while lifting a pipe that was not centred properly. The TBG joint box suddenly disconnected from the saver sub pin and fell on the work floor. The TBG joint struck the Subcontractor Personnel's head, causing a fatal injury.","• SOP require further detail enough and missed second checker.
• SPAC not detailed enough and ambiguous.
• Not enough supervision.
• JSA not detailed enough.
• Lights need improvement.
• Late communication (Subcontractor was standing in the exclusion zone assuming that the joint was connected).","• Proper connection should be made before hoisting the pipe with the power swivel.
• All non-essential personnel should stay outside the safety exclusion zone during lifting operations including while lifting the work joints using the power swivel.",[],No Causal Factors Allocated,,49,"During lifting activity on rig site, a TGB joint box disconnected while lifting a pipe that was not centred properly. The TBG joint box suddenly disconnected from the saver sub pin and fell on the work floor. The TBG joint struck the Subcontractor Personnel's head, causing a fatal injury.",narrative,[]
