id,source,record_type,osha_id,upa,event_date,event_year,employer,city,state,naics,naics_sector,is_oilgas,hospitalized,amputation,loss_of_eye,nature,part_of_body,event_type,source_of_injury,secondary_source,narrative,narrative_words,text,actual_injury,actual_severity_hint,is_duplicate,duplicate_of,dup_kind,duplicate_ids
osha_2015010023,osha_sir,severe_injury,2015010023,930028,2015-01-02,2015,"Foster Trucking, Inc.",Gill,Colorado,213112,support_activities_oil_gas,True,1,0,0,"Heat (thermal) burns, unspecified",Nonclassifiable,Nonclassifiable,Nonclassifiable,,Employee sustained burns during line tie-in operations at an oil and gas site.,13,Employee sustained burns during line tie-in operations at an oil and gas site.,True,hospitalized,False,,,
osha_2015010024,osha_sir,severe_injury,2015010024,930006,2015-01-02,2015,Trinidad Drilling,Woodward,Oklahoma,213111,drilling_oil_gas_wells,True,1,0,0,"Traumatic injuries and disorders, unspecified",Nonclassifiable,"Struck by object or equipment, unspecified","Tires, except bike",,One employee was hospitalized after being struck by a tire when he was airing the tire up during his pre-drive inspection.,21,One employee was hospitalized after being struck by a tire when he was airing the tire up during his pre-drive inspection.,True,hospitalized,False,,,
osha_2015010054,osha_sir,severe_injury,2015010054,929902,2015-01-04,2015,Lewis Casing Crews Inc.,Crane,Texas,213112,support_activities_oil_gas,True,1,0,0,"Fractures and other injuries, n.e.c.","Multiple body parts, n.e.c.","Other fall to lower level, unspecified","Ladders, unspecified",,Employee was descending a work over rig derrick via a ladder when he fell a distance. Employee suffered a lacerated spleen and fractured hip and shoulder.,26,Employee was descending a work over rig derrick via a ladder when he fell a distance. Employee suffered a lacerated spleen and fractured hip and shoulder.,True,hospitalized,False,,,
osha_2015010056,osha_sir,severe_injury,2015010056,930502,2015-01-04,2015,Lion Oil Company,El Dorado,Arkansas,324110,petroleum_refineries,True,1,0,0,"Burns and corrosions, unspecified","Multiple body parts, n.e.c.","Exposure to harmful substances or environments, unspecified",Nonclassifiable,,Employee was burned from his knees up to his lower abdomen after removing the strainer for maintenance on the Scott Unit.,21,Employee was burned from his knees up to his lower abdomen after removing the strainer for maintenance on the Scott Unit.,True,hospitalized,False,,,
osha_2015010074,osha_sir,severe_injury,2015010074,930367,2015-01-05,2015,Pump Co Energy Services,Barnhart,Texas,213112,support_activities_oil_gas,True,0,1,0,Amputations,"Finger(s), fingernail(s), n.e.c.",Compressed or pinched by shifting objects or equipment,Pumps,Wrenches-power not determined,Employee was working on a fluid end expendable pump using a torque wrench when his left ring finger got caught in between and was amputated - halfway through the nailbed.,30,Employee was working on a fluid end expendable pump using a torque wrench when his left ring finger got caught in between and was amputated - halfway through the nailbed.,True,amputation,False,,,
osha_2015010093,osha_sir,severe_injury,2015010093,930946,2015-01-05,2015,Precision Drilling Corp.,Mentone,Texas,213111,drilling_oil_gas_wells,True,0,1,0,Amputations,"Finger(s), fingernail(s), n.e.c.","Caught in or compressed by equipment or objects, unspecified","Parts and materials, unspecified",,An employee was exposed to a pinch point hazard when his left thumb was caught between the ST-80 and another metal object.,22,An employee was exposed to a pinch point hazard when his left thumb was caught between the ST-80 and another metal object.,True,amputation,False,,,
osha_2015010150,osha_sir,severe_injury,2015010150,930353,2015-01-06,2015,"4 Swift Service, LLC",Carrizo Springs,Texas,213112,support_activities_oil_gas,True,1,0,0,"General symptoms, unspecified",BODY SYSTEMS,Nonclassifiable,Oil storage tank interiors,,"Two employees of 4 Swift Service passed out in a tank that was being cleaned. Employees proceeded into a tank which had been closed, but was opened by an employee. Employees went inside to clean, but were supposed to clean the outside of the tank only. Both employees were transported to the hospital, but only one employee was admitted.",59,"Two employees of 4 Swift Service passed out in a tank that was being cleaned. Employees proceeded into a tank which had been closed, but was opened by an employee. Employees went inside to clean, but were supposed to clean the outside of the tank only. Both employees were transported to the hospital, but only one employee was admitted.",True,hospitalized,False,,,
osha_2015010253,osha_sir,severe_injury,2015010253,931246,2015-01-08,2015,Ensign Energy Services,Williston,North Dakota,213111,drilling_oil_gas_wells,True,1,0,0,Cuts and abrasions or bruises,"Multiple body parts, n.e.c.",Fall or jump curtailed by personal fall arrest system,Derricks and related equipment,,"Employee was on the side of the derrick untying tubular when his fast line became caught up in his SRL. The employee was pulled away from the ladder. The SRL stopped and so did the anchor. Therefore, no fall resulted. The employee received contusions to the head, ribs, and chest area. He also suffered bruising to the brain and lungs and received six stitches to the forehead. He did not lose consciousness.",72,"Employee was on the side of the derrick untying tubular when his fast line became caught up in his SRL. The employee was pulled away from the ladder. The SRL stopped and so did the anchor. Therefore, no fall resulted. The employee received contusions to the head, ribs, and chest area. He also suffered bruising to the brain and lungs and received six stitches to the forehead. He did not lose consciousness.",True,hospitalized,False,,,
osha_2015010261,osha_sir,severe_injury,2015010261,931080,2015-01-08,2015,Frontier Construction,Waynesburg,Pennsylvania,211112,oil_gas_extraction,True,0,1,0,Amputations,"Finger(s), fingernail(s), n.e.c.","Contact with objects and equipment, unspecified","Agricultural and garden machinery, n.e.c.",,"On 01/08/15, employee suffered an amputation of the left index finger while operating a mulch machine at a well site.",20,"On 01/08/15, employee suffered an amputation of the left index finger while operating a mulch machine at a well site.",True,amputation,False,,,
osha_2015010271,osha_sir,severe_injury,2015010271,931765,2015-01-08,2015,Premium Valve Service,Waverly,New York,213112,support_activities_oil_gas,True,1,0,0,"Cuts, lacerations","Abdomen, except internal location of diseases or disorders",Fall on same level due to tripping over self,"Floor, unspecified",,"At the facility shop area, an employee tripped over his feet and fell on an industrial sized valve stem used in hydrofracking (a piece of sharp equipment) and lacerated his abdomen. This injury required hospitalization for two days.",38,"At the facility shop area, an employee tripped over his feet and fell on an industrial sized valve stem used in hydrofracking (a piece of sharp equipment) and lacerated his abdomen. This injury required hospitalization for two days.",True,hospitalized,False,,,
