id,source,source_file,record_type,sno,date_raw,date,date_year_assumed,shift,time_of_day,category_raw,category,sub_category,area_raw,area,department,unit,sub_location,observer_id,status,corrective_action,comments,extra,description,description_words,text,is_duplicate,duplicate_of,dup_kind,duplicate_ids
reg_near_miss_report_0001,register,near_miss_report.csv,near_miss,1,04-Mar,2024-03-04,True,,Day,Unsafe Act,UA,RISKY BEHAVIOR,9 PA,9 PA,,,,b5a18519,CLOSED,Conveyor safety training to be done,,,An operator almost fell on the conveyor while it was moving,11,An operator almost fell on the conveyor while it was moving,False,,,
reg_near_miss_report_0002,register,near_miss_report.csv,near_miss,2,08-Mar,2024-03-08,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,Dispatch,DISPATCH,,,,c507b030,CLOSED,Carpet unfolded and cut to fit the door surface,,,Driver slipped on the folded carpet at the dispatch entrance door,11,Driver slipped on the folded carpet at the dispatch entrance door,False,,,
reg_near_miss_report_0003,register,near_miss_report.csv,near_miss,3,10-Mar,2024-03-10,True,,Day,Unsafe condition,UC,NARROW ESCAPE,Corrugator,CORRUGATOR,,,,2d53bc92,CLOSED,,,,LOTO cabinet fell on the walkway,6,LOTO cabinet fell on the walkway,False,,,
reg_near_miss_report_0004,register,near_miss_report.csv,near_miss,4,14-Mar,2024-03-14,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,Corrugator,CORRUGATOR,,,,dc967e4c,OPEN,Safety shoes treads have no adequate grip on the epoxy floor,,,Slipped while loading reels on the cart. Slippery treads on the new safety shoes.,14,Slipped while loading reels on the cart. Slippery treads on the new safety shoes.,False,,,
reg_near_miss_report_0005,register,near_miss_report.csv,near_miss,5,15-Mar,2024-03-15,True,,Day,Unsafe Act,UA,RISKY BEHAVIOR,9 PB,9 PB,,,,ecd1830b,CLOSED,Enforcement of closing of the gurd to be done; Awareness traning on machine dangerous zones,,,One of none- machine operator was about to be hit by the counter ejector pusher,15,One of none- machine operator was about to be hit by the counter ejector pusher,False,,,
reg_near_miss_report_0006,register,near_miss_report.csv,near_miss,6,15-Mar,2024-03-15,True,,Day,Unsafe Act,UA,NARROW ESCAPE,9 PB,9 PB,,,,ecd1830b,CLOSED,Training on machine risky,,,Machine operator almost hit by the ratchet when it fell from the impression adjuster,14,Machine operator almost hit by the ratchet when it fell from the impression adjuster,False,,,
reg_near_miss_report_0007,register,near_miss_report.csv,near_miss,7,15-Mar,2024-03-15,True,,Day,Unsafe condition,UC,FALL RISK,Pin Long,PIN LONG,,,,8e2896cf,CLOSED,Ink spillage cleaned,,,Slippery drainage covers,3,Slippery drainage covers,False,,,
reg_near_miss_report_0008,register,near_miss_report.csv,near_miss,8,15-Mar,2024-03-15,True,,Day,Unsafe Act,UA,SLIPS AND TRIPS,Pin Long,PIN LONG,,,,267c1605,CLOSED,Bucket removed and placed at its desiganted area,,,Operator almost hit a bucket put near machine,8,Operator almost hit a bucket put near machine,False,,,
reg_near_miss_report_0009,register,near_miss_report.csv,near_miss,9,15-Mar,2024-03-15,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,Pin Long,PIN LONG,,,,eebe00a2,CLOSED,Water pipes to be properly harnessed,,,Operator nearly slipped on the water pipes,7,Operator nearly slipped on the water pipes,False,,,
reg_near_miss_report_0010,register,near_miss_report.csv,near_miss,10,20-Mar,2024-03-20,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,5 PA,5 PA,,,,0b06a922,CLOSED,Oil spillage cleaned immediately,,,Oil spillage in the floor,5,Oil spillage in the floor,False,,,
reg_near_miss_report_0011,register,near_miss_report.csv,near_miss,11,20-Mar,2024-03-20,True,,Day,Unsafe Act,UA,EQUIPMENT OPERATION AND MAINTENANCE,5 PA,5 PA,,,,42f990b1,CLOSED,Training done.,,,"PX4, PX3 and PX 2 pushed manually by technicians working on PX 5, a technician at the feeder section almost knocked by the moving units.",25,"PX4, PX3 and PX 2 pushed manually by technicians working on PX 5, a technician at the feeder section almost knocked by the moving units.",False,,,
reg_near_miss_report_0012,register,near_miss_report.csv,near_miss,12,20-Mar,2024-03-20,True,,Night,Unsafe condition,UC,FALL RISK,5 PA,5 PA,,,,0b06a922,CLOSED,Spillage cleaned immediately by the observer,,,Oil spillage on the floor-Poor grip on shoes,8,Oil spillage on the floor-Poor grip on shoes,False,,,
reg_near_miss_report_0013,register,near_miss_report.csv,near_miss,13,20-Mar,2024-03-20,True,,Night,Unsafe condition,UC,FALL RISK,9 PA,9 PA,,,,87b38b0a,CLOSED,Water spillage cleaned.,,,Slippery floor and poor grip on shoes,7,Slippery floor and poor grip on shoes,False,,,
reg_near_miss_report_0014,register,near_miss_report.csv,near_miss,14,22-Mar,2024-03-22,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,9 PB,9 PB,,,,2e93582c,CLOSED,,,,"A piece of metal kept near blower, it hit somebody but was not injured.",14,"A piece of metal kept near blower, it hit somebody but was not injured.",False,,,
reg_near_miss_report_0015,register,near_miss_report.csv,near_miss,15,23-Mar,2024-03-23,True,,Night,Unsafe Act,UA,SLIPS AND TRIPS,9 PA,9 PA,,,,f28cac16,CLOSED,Platform to be fixed.,,,Pallet roll on the feeder area not rotating,8,Pallet roll on the feeder area not rotating,False,,,
reg_near_miss_report_0016,register,near_miss_report.csv,near_miss,16,28-Mar,2024-03-28,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,5 PA,5 PA,,,,fe85a89f,CLOSED,,,,One operator slid at the feeder,6,One operator slid at the feeder,False,,,
reg_near_miss_report_0017,register,near_miss_report.csv,near_miss,17,30-Mar,2024-03-30,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,9 PA,9 PA,,,,b5a18519,CLOSED,,,,Near fall of an electrician due to slip on wet floor,11,Near fall of an electrician due to slip on wet floor,False,,,
reg_near_miss_report_0018,register,near_miss_report.csv,near_miss,18,04-Apr,2024-04-04,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,9 PB,9 PB,,,,35af6222,CLOSED,Oil cleaned up,,,Near fall due to oil spillage on the floor,9,Near fall due to oil spillage on the floor,False,,,
reg_near_miss_report_0019,register,near_miss_report.csv,near_miss,19,04-Apr,2024-04-04,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,5 PA,5 PA,,,,fe85a89f,CLOSED,Oil cleaned up,,,Slipped over spilled oil,4,Slipped over spilled oil,False,,,
reg_near_miss_report_0020,register,near_miss_report.csv,near_miss,20,12-Apr,2024-04-12,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,5 PA,5 PA,,,,fe85a89f,OPEN,,,,Slipped on the ditch inside the machine,7,Slipped on the ditch inside the machine,False,,,
reg_near_miss_report_0021,register,near_miss_report.csv,near_miss,21,13-Apr,2024-04-13,True,,Day,Unsafe condition,UC,NARROW ESCAPE,9 PA,9 PA,,,,b5a18519,CLOSED,Motor starter to be replaced and wiring checked,,,Nearly shocked by electricity at conveyor push button,8,Nearly shocked by electricity at conveyor push button,False,,,
reg_near_miss_report_0022,register,near_miss_report.csv,near_miss,22,24-Apr,2024-04-24,True,,Day,Unsafe condition,UC,NARROW ESCAPE,Pin Long,PIN LONG,,,,553cb5d0,CLOSED,Sensor checked by electrician,,,A machine attendant almost hit on the head by boards while fell from the upstacker due to sensor failure,19,A machine attendant almost hit on the head by boards while fell from the upstacker due to sensor failure,False,,,
reg_near_miss_report_0023,register,near_miss_report.csv,near_miss,23,04-May,2024-05-04,True,,Day,Unsafe condition,UC,SLIPS AND TRIPS,9 pb,9 PB,,,,35af6222,CLOSED,Spillage cleaned immediately by the observer,,,A collique(machine attendant) almost fell after slipping on oil,9,A collique(machine attendant) almost fell after slipping on oil,False,,,
